,artist,song,lyrics,genre,lyric_count
0,Tupac-Shakur,Static-Mix-Part-2,"Static is the last thing ya need when ya see me ""2Pac go ahead and rock, 2Pac, 2Pac"" ""2Pac go ahead, 2Pac"" I′m smokin' these niggas like they indo Breakin′ em' like they windows, and still they with Until they get a whiff of this shit that I kick And if they ever had a notion to stop me Shoot cha' best shot and get dropped with ya posse Nigga I got the Motts I thinkin′ the amount, a lot I got More than you can hot I′m rockin' the spot so now they jock Come, come and get dropped 2Pac ain′t trying to hear it I can swing it at cha' rock I′m swearin' that cha′ not so hot Better have a bat or a gat to defeat me Nigga, I'm a whole posse rolled into one shot Takin' all ya got, while ya girl gets hot and rocks the spot Pure, funky flavor with the gift that only God gave All the way to my grave, I′d rather die than be a slave Slaves come as dope dealers, some come as addicts Some come to run while the other cause static Shoot cha′ best shot and get dropped with ya posse I thinkin' the amount, a lot I got 2Pac ain't trying to hear it I can swing it at cha′ rock Takin′ all ya got, while ya girl gets hot and rocks the spot All the way to my grave, I'd rather die than be a slave",hiphop/rap,250
1,Tupac-Shakur,Me-and-My-Homies,"Me and my homies tho You know we kick it like everyday Me and my homies, kick it like everyday But I′m alone in my room And I dont have no one to talk to I catch a girl with my phone And cause some folks who know what I go through After I smoke a joint, come on To keep my temper low I parlay with my friends There's really no where else to go Me and my homies though I ain′t shit without my homeboys Rather be buried, then see us party Keep it close to my heart Cuz we the ones that got the shit started You recollect, we used to bust on snithces Nobody come before my niggaz, fuck all y'all bitches All my homeboys are self sufficient So be suspicious of your scandalous tricks Got the police takin our pictures Love to hang out on the corner but we known to ride Me and my muthafuckin homeboys down to die For each other, cuz we closer than brothers Its like you came in, no forgettin the party poppin When my squad walks in Throw up your hands baby buy me a drink, stop actin phony Dont forget tto bring something for all my homies To know me is to love a thug nigga to the fullest, duckin bullets, Snatchin guns when these trick niggaz pull it Handle my business like a professional, the whole world knows me But I ain't shit without my fuckin homies Me and my fuckin homies Me and my homies Kick it like everyday (Me and my homies) Constantly we mash Gotta make that cash There′s no need to ask We are still the best (Thats my homeys) Thats my homeys DPGC homeys",hiphop/rap,292
2,Tupac-Shakur,Never-Be-Beat,"Never Be Beat Tupac Shakur Fumble suckers tumble goddamm I′m good Since I was born I was strong Always knew that I could Don't care anywhere anyplace I rock Give me a mic tonight competition I′ll drop Fast or slow I'll go and no one is gonna stop me Yo you must be kidding you swear you gonna drop me no Well sure as battlin is bad for your health I know your confident boy but don't fool yourself My mic′s a weapon I′m steppin with a capable rhyme Yo your time for playin is ova you got your crew I got mine Not braggin I'm bad and I could only get betta Your girl came on to me she wanted me I wouldn′t let her Don't make sense to come against me and my man ""D"" How it is how it was that′s the way it'll be You still think you can beat me get it together ′Cause I'll never be beat, never be beat, never Boldly you steppin to the top of the piece 'Cause I′m the predator competitor and I′m risin like yeast I'm the microphone musician musically I′m the most When I rumble you tumble like a burnt piece of toast Proceed with caution I cannot be stopped A deadly weapon that's kept inside a Sentry lock Strong hold holding on but there′s no holds barred Fuck around feel the wrath and your forever scarred Anybody want to battle step the hell up Toss your ass like a salad and eat you all up You climb the rope of success but you know you can't win You get discouraged cause I hold the otha end If I let you go like all the others you will fall The vicious vocalist consoloist will still be raw Your bein waxed like a sucker but you′ll neva recoup I'm a veteran a breathren goin in like a troop Try to stop me you can't you puff and you pant Try to beat me at this game you gettin stomped like an ant In the long run I′m the one that′s holding the mic Upset to get to me sweatin me for the rhymes that I write This time we're goin at it get ready ′Cause I'm your worst nightmare, fuck Freddy Where′s that mothafucker that said that I was a dope Tyin' up rhymes like a rope I′ll pull it tight and I'll choke You swear that you could beat me punk get it together 'Cause I′ll never be beat you punk, never Hard is what you wanted knowledge is what you gettin I′m movin and groovin and proven, you're still sittin Got me blowin up, like a Hawaiian vulcano Runnin things like Drano Lettin you know that there ain′t no-body Gonna diss me now I'm comin exact I′m paid got it made cause I'm makin tracks This is a lesson at bein dope that is Cordless mics are mine and the wheels are his Tons and tons of freaks I′m a mack daddy-o Writin def jams while I'm chillin on my patio You are useless as a toothless piranha I'm ruthless now I′m gonna Bust it and discuss it make it funky to hear Paragraph to the people penetratin your ear You want to taste of it ooh here take a full dose Burn you up like radiation if you get too close ′Cause my mouth is like an uzi when it moves so quick And my lyrics are the bullets that I'm loadin it with You want to beat me homeboy I think you′ll be destroyed Get dropped like a habit and played like a toy Never defeated I'm not conceited but let′s face the facts Couldn't beat me with a motherfuckin baseball bat If I gave you a bomb that was nuclear armed You could shoot it at me and I wouldn′t get harmed 'Cause punk you can't stop me bullets couldn′t drop me Stand on a mountain and still you couldn′t top me You think you'll beat me boy get it togetha ′Cause I'll never be beat you punk, never When you hear my thumpin it′s a maximum charge 'Cause I′m the hip hop hood the ringleader at large Got a Ph.D in history I'm deadly boy not a toy like a poetry, prodigy Young beat conisseur hummin like a bird It was true when uou heard I'm the wiz the word Your eyes delate your eardrums expand When my voice comes through speaker from the mic in my hand Woofers stompin like thunder all about to explode The needle on the nuance stuck in overload Don′t laugh cause I′m serious Mr. Mysterious Don't make me wad (why) cause I get furious Countless time is he just when you think I′m through I let my melody stretch to make more for you Just bust it cause I'm just too clever And I′ll never be beat ya punk, never Rhyme-fumble suckers tumble, god damn I'm good Since I was born I was strong, always knew that I could Don′t care anywhere any place I'll rock Give me a mic to light and competition will drop Fast or slow, I'll go and no one is gonna stop me yo You must be kiddin′, you swear you′re gonna drop me no Well sure as battlin' is bad for your health Know you′re confident my friend but don't fool yourself My mic′s a weapon, I'm steppin′ with a capable rhyme Yo, your time for playin' is over you got your crew I got mine Not braggin', I′m bad and I could only get better How it is, how it was, that′s the way it'll be But you still think you can beat me, huh, get it together Cause I′ll never be beat, never be beat, NEVER!! (Outro) (*""Bad motherfucker and you know this"" - cut and scratched*) Stricly Dope in the house, never be beat (not never) Never be beat, ay Roc man, check out the competition man Never be beat (not never), never be beat",hiphop/rap,1007
3,Tupac-Shakur,The-Case-of-the-Misplaced-Mic-II,They finally did it (what′s that?) They stole the mic I grip Now that it's gone (what′s wrong?) I'm feelin tired and sick (How did they do it?) I don't know I wasn′t sleepin that long When I woke up (what happened brother?) My microphone was gone At first i panicked (how?) I put the cops on the case But they were stuck (damm?) Without a clue or a trace So sure as smokin cigarettes is bad for your health If I want my microphone back I′ll find it myself So I picked up the phone (for what?) I called Dizzy What's up? My mic is gone Word? Let′s get busy Before I could tell Dizzy What I wanted to do He was over at my house with the TMS crew He said Word is out in every mouth In the street now that your mic is gone It's not long until your beat And then it hit me (Damm) I got a battle at six Without my microphone I′m guaranteed to get whipped You might think it's unbelievable but word to the strength When it comes to rockin′ rhymes I'm a musical nymph They gave me other mics but yo it wasn't no use I tried to rock One two one two But I couldn′t get loose I said forget it My microphone or not I gotta do it Give it all that I go (What if you loose?) It be the first time I lost But if I beat em I′ll finally prove I'm the boss I grabbed my leather jacket Walked through the streets Suckers was hopin′ and preyin' Strictly Dope would get beat I begin to get hyped I was ready to fight Yo I was confident that I′d win To hell with the mic I hopped up to the stage Dizzy started the beat Suckers shivered cause he Tasted defeat Then I signalled to Dizzy Bust a rhyme off my head Perpetrator fell back (Huh?) And then he was dead I was happy as hell Cause I was lucky that night Put my hand in my pocket And there was my mic THE CASE OF THE MISPLACED MIC STRICTLY DOPE IN THE HOUSE,hiphop/rap,368
4,Tupac-Shakur,Fatha-Figga,"Album: Miscellaneous Genre: Hip Hop/Rap RIFF-it good. Play the Tupac Shakur Quiz Listen while you read! Hustlas, ballers, players, yeah The fatha figga It don′t stop, it don't stop It don′t stop One love, one love I was raised in the inner city by ballers with diamonds Climbin' the Benzes, rollin' Philles, we younger minors Me, I be the one that′s only 12 years old Crankin′ off the hook from cousin, let me sport his gold And I was told to put it down and keep it real Like 3 time crazy young player about the scrill In this California lifestyle that I live Them playas is havin' money man in plushed out cribs Survivin′ in the city is a serious task Didn't know the [Incomprehensible] wanted, didn′t have time to ask 'Cuz I′m 'bout it, 'bout it like the TRU One love to real hustlers, straight dollars for two Gangstas, ballers and hustlers too Baby youngsters wanna be like you You′re the fatha figure of today We need to find a better way We at the after party chillin′ 'cuz we ain′t no punks Some cats is in the back with Macks and gold fronts With sacks they post up, you know we be watchin' Thinkin′ they got it crankin', playa we got it poppin′ Now bitin' over dirty work, that ain't cool With cats in drop ′Vettes in mobs and old schools We rob them old fools, won′t you amount your scratch? Respect them young G's, they the ones that′s strapped, ya know Dogg Pound, that's the sound, check around, we hold it down It′s the super duper, yes, the Snoop-a Comin' through, in all gray and blue Kickin′ the game to the playas from the bay All over the world and out the U.K Everybody around they love Snoop D-O double to the G 'Cuz I'm what they love, you see I′ll break ′em, shake 'em and I make ′em and I take 'em To the whale, leave ′em in a spell And I got a little story to tell For all my homies that's locked up in jail I kick it to ya give it to ya for real ′Cuz I know y'all dealin' with the reals every day and To get killed ain′t nothin′ to laugh about But some niggas goin' out so sideways Make me wanna get me a bulletproof Hoo ride and slide around town in But yet and still, if I get peeled My niggas gon′ ride forever and that's real Ain′t no stoppin', we ain′t coppin' no pleas We spit game for all the real G's Feel up the [Incomprehensible] they love to have it They love to take it to the dome, yeah it′s on Meanwhile back in the lab Paper was gettin′ stacked, hatas was gettin' mad Confidential information exchanged up on the regular One dead head, two steps a my competitor Catch ′em slippin' ′cuz they just been bought Got directions to the house and the keys to the vault Well, let me open up this bundle of money, each off a half Pullin' capers with cousin Snoop, Kurrupt and young Daz In for the cash, man, this gang is thick If one caught up in the track we can all get sick And have ′em shook The four O crook didn't leave a clue Snoop D-O double G tell 'em what you gon′ do I′ll keep doin' what I′m gon' do With my nigga J.T. the Bigga Figga, that′s my nigga Representin' Frisco, in case you didn′t know We blow by like Jerry Rice Come back with styles that are oh so nice Snoop D-O double to the G from the LBC You gots to have cash to make it these days You could make it at least a hundred different ways I go the man and I get a 8 track Make me a beat, smoke me a sack Roll up some fat ass, uh uh uh Blaze with my homies and it's on like that y'all Yeah, yeah, it don′t stop Yeah, yeah, it don′t stop, like that Yeah, it don't stop, like that One love You're the fatha figure of today Hustlers, ballers and gangstas too You′re the fatha figures of today Gangsters, ballers",hiphop/rap,710
5,Tupac-Shakur,I-Ain-t-Mad-at-Cha,"Change, shit I guess change is good for any of us Whatever it take for any of y′all niggaz to get up out the hood Shit, I'm wit cha, I ain′t mad at cha Got nuttin but love for ya, do your thing boy Yeah, all the homies that I ain't talk to in a while I'ma send this one out for y′all, nahmean? Cause I ain′t mad at cha Heard y'all tearin up shit out there, kickin up dust Givin a motherfuck, hehe Yeah, niggaz Now we was once two niggaz of the same kind Quick to holla at a hoochie with the same line You was just a little smaller but you still roll Got stretched to Y.A. and hit the hood swoll Member when you had a jheri curl didn't quite learn On the block, witcha glock, trippin off sherm Collect calls to the tip, sayin how ya changed Oh you a Muslim now, no more dope game Heard you might be comin home, just got bail Wanna go to the mosque, don′t wanna chase tail It seems I lost my little homie he's a changed man Hit the pen and now no sinnin is the game plan When I talk about money all you see is the struggle When I tell you I′m livin large you tell me it's trouble Congratulation on the weddin, I hope your wife know She got a playa for life, and that's no bullshitin I know we grew apart, you probably don′t remember I used to fiend for your sister, but never went up in her And I can see us after school, we′d BOMB On the first motherfucker with the wrong shit on Now the whole shit's changed, and we don′t even kick it Got a big money scheme, and you ain't even with it Hmm, knew in my heart you was the same motherfucker that′d Go toe to toe when it's time to roll, you got a brother′s back And I can't even trip, cause I'm just laughin at cha You tryin hard to maintain, then go head (Hmm, I ain′t mad at cha) I ain't, mad, at cha (I ain′t mad at cha) I ain't, mad, at cha We used to be like distant cousins, fightin, playin dozens Whole neighborhood buzzin, knowin, that we wasn′t Used to catch us on the roof or behind the stairs I'm gettin blitzed and I reminsce on all the times we shared Besides bumpin n grindin wasn′t nothin on our mind In time we learned to live a life of crime Rewind us back, to a time was much too young to know I caught a felony lovin the way the guns blow And even though we seperated, you said that you'd wait Don't give nobody no coochie while I be locked up state I kiss my Mama goodbye, and wipe the tears from her lonely eyes Said I′ll return but I gotta fight the fate′s arrived Don't shed a tear, cause Mama I ain′t happy here I'm through trial, no more smiles, for a couple years They got me goin′ mad, I'm knockin busters on they backs In my cell, thinkin, ""Hell, I know one day I′ll be back"" As soon as I touch down I told my girl I'll be there, so prepare, to get fucked down The homies wanna kick it, but I'm just laughin at cha Cause youse a down ass bitch, and I ain′t mad at cha I ain′t, mad, at cha; I ain't mad at cha) I ain′t, mad, at cha (A true down ass bitch, and I ain't mad at cha) Well guess who′s movin up, this nigga's ballin now Bitches be callin to get it, hookers keep fallin down He went from nuttin to lots, ten carots to rock Went from a nobody nigga to the big, man on the block He′s Mister local celebrity, addicted to move a key Most hated by enemy, escape in the Luxury See, first you was our nigga but you made it, so the choice is made Now we gotta slay you why you faded, in the younger days So full of pain while the weapons blaze Gettin so high off that bomb hopin we make it, to the better days Cause crime pays, and in time, you'll find a rhyme'll blaze You′ll feel the fire from the niggaz in my younger days So many changed on me, so many tried to plot That I keep a glock beside my head, when will it stop? Til God return me to my essence Cause even as a adolescents, I refuse to be a convalescent So many questions, and they ask me if I′m still down I moved up out of the ghetto, so I ain't real now? They got so much to say, but I′m just laughin at cha You niggaz just don't know, but I ain′t mad at cha I ain't, mad at cha (and I ain′t mad at cha) I ain't mad (hell nah I ain't mad at cha) at cha I ain′t, mad at cha (and I ain′t mad at cha) I ain't, mad at cha (I ain′t mad at cha) I ain't, mad at cha, no I ain′t mad at cha",hiphop/rap,876
6,Tupac-Shakur,One-Night-Stand,"Get up and wash my ass and damn, she was just another One Night Stand For big dick daddy, ′case you heard 'Cuz she was just another One Night Stand, ′cuz she was just another one For big dick daddy, 'case you heard Stand. ′cuz she was just another one Remember when you're all alone, my cellular phone Was turned off, smokin′ burners with my dogs, and it's all good baby Everyone who steal the flow, all y′all some hoes Shermed out, let's make some mo′ money I'm kinda hungry, it's all good, haters I don′t wanna rock ′em if they study another Bone role Will they do the run in when their comin', when I′m rollin' in my home A son of a bitch, I gotta cough, cough in the summer Love of thug nigga, from my calico, I felt I was losin′ my mind There was some other kind, Really wanna smoke the weed, after you swallow me And try not to follow me, blind, find me 69 Real lit, smokin', the finest vintage wine, talkin′ bout time with me And you wanna to be something, more than just a dime to me The bitch can cut me, fuck my homies Be a dyke and spike my Hennessy Have babies by one of my enemies (then, then) Come and pretend she wanna be grinned They probably, wanna send me to the end of the cliff Inherit all of my chips and then go spend it with another nigga Well, in my shit and lickin' my Lick, nobody does it better than the Rip That's the shit, welcome the widow, keeping the pistol grip Under my pillow, well, when you peep out the window, it′s so cold Get in ′fore the wind blow No hoes allowed -lowed -lowed. Get in 'fore the wind blow No hoes allowed, no hoes allowed, no hoes allowed That bitch can cluck and fuck my homies Have babies by one of my enemies, then, then, then Man the chicks can cut me, fuck my homies Have babies by one of my enemies, then, then, then, then, then I woke up early in the mornin′ with my Glock, you're fine, yawnin′ Smellin' like last night′s Hen, 'til the crack of dawn we get it on Then again, nigga reel it down from me, just 'cuz we′re T-H-U-Gs But the money was abundant, start up my family tree Eager to move, we live and we die in Cleveland That same week or sell speakers Bid for insurance, and that ass won′t free my people with warrants Over there, come call us, all this over a hoe My homeboy has no dough and wants to force it, let me know What a crazy ass life, play me right, don't play me twice Damn, I′m a grown man, Getting in big fights, It'd be nice to settle down Yeah right, yeah right, yeah right, yeah right, yeah right, yeah right Man, a bitch can′t cut me Fuck my homies, homies, homies, homies (I'm still high) And be a dyke and spike my Hennessey, then, then, then (it′s all right.) Have babies by one of my enemies Have babies by one of my enemies (I'm still high) Phone jury, call the police, they can never hold me. (I'm still high) Eventually, you′re gonna remember me",hiphop/rap,556
7,Xzibit,Welcome-To-California,Why is nobody wanting too look death straight in it′s fucking eyes I summarize this why I'm high as fucking high rise fucking In high rise making music that makes meteors not look as high Meteorologist forecast what I′m doing I'm looking straight into a camera they keep telling me don't do it I hear cries that whimper don′t ever lose the top or lose your top I′m crawling through the mud still able to Light my skunk I'm seeing skunks in the field They keep trying to talk about how They going to spray me they never do The only fucking thing I will tell all you Good bye food on my agenda why I′m chubby in the club I still get my meds I look like Carlos I rap like Carlos let's not be coy I ain′t Carlos boy Why you keep telling Carlos where I stay boy I just wanna chill lax Drink a Rob Roy and destroy a rap For every beat I'm in remembered I′m a Sap when I'm in Denver I'm smoking sap in Denver Got it from Cali tho sh don′t tell D b Cooper I′ll parachute with half a million in nighttime Moral of the story is I don't land You talk about my death oh he is the man Legend has it he reached and Grabbed the whole fucking world in one hand,hiphop/rap,232
8,Xzibit,The-Anthem,"There′s just things, we can't relate, Imma sinner, your a saint. You get smiles and all the fame, While I sit in wrath and pain."" This romance is too damn cliché (aye aye) This romance is too damn cliché The type that messes with my brain (ain ain) I hope that you already know, I want to be your perfect mold, Pretty, proper, a smile that glows, But I get sent this f*cking hellhole. You′ve got a halo around yo head, While I have a pitchfork in my hand, Yeah you might be heaven-sent, But you're a real freak in bed. There's just things, we can′t relate, Imma sinner, your a saint, While I sit in wrath and pain The type that messes with my brain",hiphop/rap,126
9,Xzibit,Lolo-Intro-1,"Goddamn, wassup, nigga? Oh, shit Wassup? Hey, that motherfucker clean Who was that? Hey, that′s Dre, nigga, that's the Look at that shit Hangin′ that motherfucker, goddamn That nigga chromed out up under that motherfucker Hangin' on the bumper X Hey, hang that shit What up, Dr. Dre?",hiphop/rap,48
