,count
like,1373
don,1050
got,972
just,828
know,810
ain,669
shit,657
cause,628
fuck,529
ll,522
nigga,507
yeah,454
love,436
let,429
bitch,411
em,402
oh,355
say,350
wanna,344
notorious,344
come,334
niggas,329
make,318
time,315
want,308
ya,282
man,265
ass,260
right,252
uh,249
life,244
way,244
gon,227
dre,222
yo,216
baby,214
money,211
big,210
think,203
tell,200
day,196
hit,192
need,187
look,187
said,185
gotta,183
fuckin,183
run,180
girl,168
head,165
party,163
ma,161
real,161
bitches,156
feel,156
little,153
cover,151
ve,151
till,146
gonna,145
really,145
new,143
art,141
hey,138
game,137
good,135
stop,135
better,134
bad,131
long,128
play,126
fucking,125
leave,122
rap,122
world,119
shady,118
boy,117
night,117
2pac,116
hard,114
beat,113
live,113
huh,112
came,112
til,111
talk,110
damn,108
god,106
50,105
turn,103
crazy,103
told,103
did,100
west,99
people,99
black,99
cut,98
girls,97
club,97
bring,97
bout,96
high,96
break,95
doc,95
thing,93
mad,92
niggaz,92
start,91
hot,91
die,91
smoke,90
house,90
won,90
comin,90
motherfucker,88
hold,88
blow,88
hoes,88
cuz,87
face,87
check,86
hear,86
slim,86
ladies,85
wit,84
drop,84
mean,83
didn,82
ride,81
california,81
watch,79
left,79
things,79
dick,79
stay,79
hands,78
coast,78
everybody,78
old,77
try,77
ask,76
low,76
wrong,76
hell,76
straight,75
eminem,75
cent,74
dead,73
hood,73
white,73
mic,72
rock,72
jump,72
young,72
dust,71
going,71
goin,71
tryna,71
dogg,71
home,70
ha,70
thought,70
lookin,70
hate,69
ball,69
body,69
tonight,68
rubbers,68
car,68
act,68
problem,67
lil,67
went,67
roll,67
pop,67
mind,66
kill,66
inside,65
walk,65
place,65
sick,64
pain,64
king,63
spit,63
getting,63
comes,62
blood,62
daddy,62
na,61
street,61
heard,61
gettin,61
care,60
lights,60
fucked,60
tryin,60
mouth,60
city,60
hope,60
gone,60
catch,59
la,59
snoop,59
cold,59
friends,59
fight,59
dr,59
biggie,58
gun,58
hand,58
verse,58
sit,58
nothin,58
runnin,57
pay,57
away,57
throw,56
lot,56
started,56
streets,55
cha,55
doctor,55
bust,55
weed,55
living,55
motherfuckin,55
believe,55
best,55
paper,55
